Filename 	 swathNumber 	 targetMz 	 scansPerSwath 	 AvgMzRange 	 SwathProportionOfTotalTIC 	 swDensityAverage 	 swDensityIQR 	 swAvgProportionSinglyCharged 
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	7	562	2277	25	0.044798232	5833	2621	0.078542166
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	8	587	2277	25	0.04614517	6131	2226	0.079058006
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	9	612	2277	25	0.042174579	6282	2069	0.078358879
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	10	637	2277	25	0.043362393	6405	2099	0.077971766
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	11	662	2277	25	0.041503148	6535	2397	0.077346484
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	12	687	2277	25	0.041993977	6706	2393	0.07592938
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	13	712	2277	25	0.04181344	6721	2489	0.075666298
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	14	737	2277	25	0.041849565	6763	2724	0.074705029
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	15	762	2277	25	0.038758716	6759	3163	0.073432825
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	16	787	2277	25	0.040310942	6725	3116	0.072851637
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	17	812	2277	25	0.034880482	6643	3430	0.071995532
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	18	837	2277	25	0.034669238	6541	3777	0.071031576
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	19	862	2277	25	0.033248012	6545	3565	0.070287449
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	20	887	2277	25	0.033219039	6442	3737	0.06907733
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	21	912	2277	25	0.029195554	6401	4220	0.068733681
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	22	937	2277	25	0.027734589	6273	4699	0.067388488
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	23	962	2277	25	0.026079689	6094	4948	0.066374071
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	24	987	2277	25	0.022245115	5965	5036	0.066183866
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	25	1012	2277	25	0.020020823	5766	5212	0.064809886
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	26	1037	2277	25	0.019479228	5709	5168	0.064641882
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	27	1062	2277	25	0.016647597	5466	4969	0.064187903
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	28	1087	2277	25	0.015976173	5259	5038	0.062779027
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	29	1112	2277	25	0.015518027	5196	5022	0.062733133
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	30	1137	2277	25	0.013825653	5028	5188	0.06166373
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	31	1162	2277	25	0.015195261	5047	5233	0.061634231
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	32	1187	2277	25	0.011946414	4729	5059	0.060018017
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	1	412.5	2277	25	0.031703833	3131	4924	0.0713113
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	2	437	2277	25	0.034928021	3712	5105	0.074230186
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	3	462	2277	25	0.038689514	4082	4865	0.073185267
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	4	487	2277	25	0.041339156	4432	4279	0.074924678
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	5	512	2277	25	0.042976141	4609	3993	0.07462941
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	6	537	2277	25	0.043730768	4876	3690	0.074870061
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	7	562	2277	25	0.046925101	5116	3631	0.075716202
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	8	587	2277	25	0.047972676	5404	3440	0.076753865
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	9	612	2277	25	0.043158219	5471	3428	0.076290258
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	10	637	2277	25	0.043556647	5561	3219	0.07728909
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	11	662	2277	25	0.041256458	5683	3316	0.076883385
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	12	687	2277	25	0.040492402	5866	3116	0.076359606
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	13	712	2277	25	0.042360345	5904	3113	0.076015403
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	14	737	2277	25	0.040891146	5996	2990	0.075502553
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	15	762	2277	25	0.037975979	5929	3334	0.074624335
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	16	787	2277	25	0.039333044	6012	3064	0.074398241
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	17	812	2277	25	0.033508171	5873	3412	0.073865281
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	18	837	2277	25	0.033393575	5790	3841	0.072318574
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	19	862	2277	25	0.029648785	5838	3485	0.071779915
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	20	887	2277	25	0.029793591	5712	3526	0.070854842
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	21	912	2277	25	0.025931074	5598	3826	0.070278467
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	22	937	2277	25	0.025346531	5498	4038	0.068908469
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	23	962	2277	25	0.023059417	5374	4306	0.068321055
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	24	987	2277	25	0.020330057	5208	4418	0.066999686
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	25	1012	2277	25	0.01837617	4988	4528	0.065157163
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	26	1037	2277	25	0.018600937	4983	4440	0.065049675
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	27	1062	2277	25	0.015988168	4730	4355	0.06392448
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	28	1087	2277	25	0.014521541	4521	4616	0.061944124
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	29	1112	2277	25	0.014803614	4486	4403	0.061840629
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	30	1137	2277	25	0.013392203	4360	4476	0.060722658
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	31	1162	2277	25	0.014219822	4388	4644	0.06076581
olgas_K121026_006_SW_Wayne_R1_d20+48h.wiff.scan	32	1187	2277	25	0.011796897	4052	4398	0.058647379
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	1	412.5	2277	25	0.031625169	3172	4674	0.073412325
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	2	437	2277	25	0.034545789	3705	4976	0.074750056
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	3	462	2277	25	0.036883654	4031	4904	0.073526618
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	4	487	2277	25	0.039359217	4378	4248	0.075371354
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	5	512	2277	25	0.040151182	4606	4077	0.075077655
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	6	537	2277	25	0.041138321	4915	3733	0.076068017
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	7	562	2277	25	0.044797612	5207	3839	0.076836443
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	8	587	2277	25	0.046009708	5492	3682	0.077505868
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	9	612	2277	25	0.042078791	5602	3618	0.077388456
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	10	637	2277	25	0.043550009	5715	3310	0.077203438
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	11	662	2277	25	0.042548049	5844	3452	0.076773755
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	12	687	2277	25	0.042634455	6042	3225	0.075807825
